Date,Open,High,Low,Close
12/09/2022,"136.94","136.94","136.94","136.94"
12/08/2022,"137.94","137.94","137.94","137.94"
12/07/2022,"136.89","136.89","136.89","136.89"
12/06/2022,"137.15","137.15","137.15","137.15"
12/05/2022,"139.15","139.15","139.15","139.15"
12/02/2022,"141.68","141.68","141.68","141.68"
12/01/2022,"141.84","141.84","141.84","141.84"
11/30/2022,"141.94","141.94","141.94","141.94"
11/29/2022,"137.64","137.64","137.64","137.64"
11/28/2022,"137.85","137.85","137.85","137.85"
11/25/2022,"140.01","140.01","140.01","140.01"
11/23/2022,"140.04","140.04","140.04","140.04"
11/22/2022,"139.21","139.21","139.21","139.21"
11/21/2022,"137.34","137.34","137.34","137.34"
11/18/2022,"137.86","137.86","137.86","137.86"
11/17/2022,"137.21","137.21","137.21","137.21"
11/16/2022,"137.60","137.60","137.60","137.60"
11/15/2022,"138.72","138.72","138.72","138.72"
11/14/2022,"137.51","137.51","137.51","137.51"
11/11/2022,"138.72","138.72","138.72","138.72"
11/10/2022,"137.45","137.45","137.45","137.45"
11/09/2022,"130.22","130.22","130.22","130.22"
11/08/2022,"132.95","132.95","132.95","132.95"
11/07/2022,"132.21","132.21","132.21","132.21"
11/04/2022,"130.95","130.95","130.95","130.95"
11/03/2022,"129.16","129.16","129.16","129.16"
11/02/2022,"130.53","130.53","130.53","130.53"
11/01/2022,"133.88","133.88","133.88","133.88"
10/31/2022,"134.43","134.43","134.43","134.43"
10/28/2022,"135.43","135.43","135.43","135.43"
10/27/2022,"132.16","132.16","132.16","132.16"
10/26/2022,"132.97","132.97","132.97","132.97"
10/25/2022,"133.96","133.96","133.96","133.96"
10/24/2022,"131.81","131.81","131.81","131.81"
10/21/2022,"130.26","130.26","130.26","130.26"
10/20/2022,"127.24","127.24","127.24","127.24"
10/19/2022,"128.25","128.25","128.25","128.25"
10/18/2022,"129.11","129.11","129.11","129.11"
10/17/2022,"127.65","127.65","127.65","127.65"
10/14/2022,"124.36","124.36","124.36","124.36"
10/13/2022,"127.36","127.36","127.36","127.36"
10/12/2022,"124.13","124.13","124.13","124.13"
10/11/2022,"124.53","124.53","124.53","124.53"
10/10/2022,"125.35","125.35","125.35","125.35"
10/07/2022,"126.29","126.29","126.29","126.29"
10/06/2022,"130.52","130.52","130.52","130.52"
10/05/2022,"131.84","131.84","131.84","131.84"
10/04/2022,"132.10","132.10","132.10","132.10"
10/03/2022,"128.17","128.17","128.17","128.17"
09/30/2022,"124.93","124.93","124.93","124.93"
09/29/2022,"126.84","126.84","126.84","126.84"
09/28/2022,"129.56","129.56","129.56","129.56"
09/27/2022,"127.05","127.05","127.05","127.05"
09/26/2022,"127.31","127.31","127.31","127.31"
09/23/2022,"128.64","128.64","128.64","128.64"
09/22/2022,"130.89","130.89","130.89","130.89"
09/21/2022,"132.00","132.00","132.00","132.00"
09/20/2022,"134.29","134.29","134.29","134.29"
09/19/2022,"135.82","135.82","135.82","135.82"
09/16/2022,"134.89","134.89","134.89","134.89"
09/15/2022,"135.87","135.87","135.87","135.87"
09/14/2022,"137.41","137.41","137.41","137.41"
09/13/2022,"136.91","136.91","136.91","136.91"
09/12/2022,"143.09","143.09","143.09","143.09"
09/09/2022,"141.59","141.59","141.59","141.59"
09/08/2022,"139.45","139.45","139.45","139.45"
09/07/2022,"138.52","138.52","138.52","138.52"
09/06/2022,"136.02","136.02","136.02","136.02"
09/02/2022,"136.57","136.57","136.57","136.57"
09/01/2022,"138.04","138.04","138.04","138.04"
08/31/2022,"137.61","137.61","137.61","137.61"
08/30/2022,"138.66","138.66","138.66","138.66"
08/29/2022,"140.20","140.20","140.20","140.20"
08/26/2022,"141.13","141.13","141.13","141.13"
08/25/2022,"146.05","146.05","146.05","146.05"
08/24/2022,"144.02","144.02","144.02","144.02"
08/23/2022,"143.59","143.59","143.59","143.59"
08/22/2022,"143.91","143.91","143.91","143.91"
08/19/2022,"147.05","147.05","147.05","147.05"
08/18/2022,"148.96","148.96","148.96","148.96"
08/17/2022,"148.60","148.60","148.60","148.60"
08/16/2022,"149.66","149.66","149.66","149.66"
08/15/2022,"149.37","149.37","149.37","149.37"
